"game_str","play_id","at_bat.x","play_per_game","timestamp","player_position","event_code","X.x","home_team","away_team","at_bat.y","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner","event_shifted","bounce_after_bip","acquired_after_bip","X.y","ball_position_x","ball_position_y","ball_position_z","radius"
"1903_01_TeamNE_TeamA2",287,73,288,9513771,8,2,285,"TeamA2","TeamNE",73,8,"Top",2592,2790,2526,2053,2382,1972,1557,1751,2973,7148,0,6000,0,4,FALSE,TRUE,12368,14.66532,296.0316,4.81671,296.394635257223
"1903_01_TeamNE_TeamA2",298,76,299,9937920,9,2,296,"TeamA2","TeamNE",76,8,"Bottom",4044,7071,5616,6993,9762,6000,3790,4474,7148,1557,2973,0,0,4,FALSE,TRUE,12904,141.6777,183.7932,4.07748,232.061438079509
"1903_01_TeamNE_TeamA2",314,80,315,10494631,9,2,311,"TeamA2","TeamNE",80,8,"Bottom",4044,7071,5616,6993,9762,6000,3790,4474,7148,2790,0,2526,0,4,FALSE,TRUE,13643,174.1947,175.2999,4.21485,247.131237297311
"1903_01_TeamNE_TeamA2",325,83,326,10894492,9,2,322,"TeamA2","TeamNE",83,9,"Top",2592,2790,2526,2053,2382,1972,1557,1751,2973,6803,0,3790,0,4,FALSE,TRUE,14098,174.1683,260.1543,5.9514,313.07324467827
"1903_02_TeamNE_TeamA2",19,4,19,487975,8,2,19,"TeamA2","TeamNE",4,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,6803,0,3790,4474,4,FALSE,TRUE,418,-60.804,292.5603,5.6019,298.812073973074
"1903_02_TeamNE_TeamA2",84,34,84,3625937,8,2,82,"TeamA2","TeamNE",34,4,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,4474,4306,7148,0,4,FALSE,TRUE,2222,100.2816,351.09,7.71576,365.130918163006
"1903_02_TeamNE_TeamA2",91,36,91,3870787,7,2,89,"TeamA2","TeamNE",36,4,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,0,4306,4,FALSE,TRUE,2541,-79.5186,279.5478,6.74094,290.637540986707
"1903_02_TeamNE_TeamA2",93,37,93,3939887,9,2,91,"TeamA2","TeamNE",37,4,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,6803,0,3790,0,4,FALSE,TRUE,2689,149.7606,277.0563,4.8858,314.941948114331
"1903_02_TeamNE_TeamA2",99,39,99,4162137,8,2,97,"TeamA2","TeamNE",39,4,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,2148,0,0,0,4,FALSE,TRUE,2920,18.02328,247.6641,6.46077,248.319038840699
"1903_02_TeamNE_TeamA2",124,45,124,5047187,8,2,122,"TeamA2","TeamNE",45,5,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,2973,1751,0,0,4,FALSE,TRUE,3302,-70.4427,312.66,6.0357,320.497191225274
"1903_02_TeamNE_TeamA2",169,56,170,6592887,9,2,168,"TeamA2","TeamNE",56,7,"Top",1874,1240,2526,1557,1297,2148,2053,1177,1751,6803,0,0,0,4,FALSE,TRUE,4250,142.7982,304.557,6.999,336.372252381554
"1903_02_TeamNE_TeamA2",175,59,176,6866087,7,2,174,"TeamA2","TeamNE",59,7,"Bottom",4351,7071,6803,4306,5616,6000,3790,4474,7148,1751,1177,0,0,4,FALSE,TRUE,4601,-126.7803,276.1272,6.4734,303.841200379294
"1903_02_TeamNE_TeamA2",192,63,193,7372937,8,2,191,"TeamA2","TeamNE",63,8,"Top",1900,1240,2526,1557,1297,2148,2053,1177,1751,6000,0,0,0,4,FALSE,TRUE,5002,67.9257,326.883,7.89375,333.865835942359
"1903_03_TeamNE_TeamA2",21,5,21,527178,7,2,21,"TeamA2","TeamNE",5,1,"Bottom",3445,7071,6803,4306,9762,6000,3790,4474,7148,1972,0,0,0,4,FALSE,TRUE,361,-121.2057,218.6553,4.39251,250.001923853758
"1903_03_TeamNE_TeamA2",28,8,28,698978,7,2,28,"TeamA2","TeamNE",8,1,"Bottom",3445,7071,6803,4306,9762,6000,3790,4474,7148,2053,0,1557,0,4,FALSE,TRUE,730,-71.565,241.6272,5.66046,252.002486108451
"1903_03_TeamNE_TeamA2",68,20,68,1920978,9,2,68,"TeamA2","TeamNE",20,3,"Top",2974,2790,2382,1557,1972,2148,2053,1177,2973,6803,3790,4474,4306,4,FALSE,TRUE,1918,88.848,279.1947,2.55429,292.990866089866
"1903_03_TeamNE_TeamA2",71,21,71,2018028,7,2,71,"TeamA2","TeamNE",21,3,"Top",2974,2790,2382,1557,1972,2148,2053,1177,2973,6077,3790,4474,0,4,FALSE,TRUE,2085,-157.2288,209.5458,4.7502,261.973925891643
"1903_03_TeamNE_TeamA2",88,24,89,2453228,8,2,89,"TeamA2","TeamNE",24,3,"Bottom",3445,7071,6803,4306,9762,6000,3790,4474,7148,1972,0,0,0,4,FALSE,TRUE,2489,7.01994,303.204,8.21007,303.285253801769
"1903_03_TeamNE_TeamA2",99,28,100,2821828,9,2,100,"TeamA2","TeamNE",28,4,"Top",2974,2790,2382,1557,1972,2148,2053,1177,2973,4306,7148,0,0,4,FALSE,TRUE,2947,172.0812,193.1574,6.29388,258.692328004137
"1903_03_TeamNE_TeamA2",101,29,102,2969328,7,2,102,"TeamA2","TeamNE",29,4,"Bottom",3445,7071,6803,4306,9762,6000,3790,4474,7148,2973,0,0,0,4,FALSE,TRUE,3084,-147.1227,230.1042,4.81308,273.11724902124
"1903_03_TeamNE_TeamA2",145,38,146,4252428,8,2,146,"TeamA2","TeamNE",38,5,"Bottom",8002,7071,6803,4306,9762,6000,3790,4474,7148,2790,2382,0,0,4,FALSE,TRUE,3950,-30.6117,252.0093,4.5876,253.861701450573
"1903_03_TeamNE_TeamA2",158,42,159,4697178,9,2,159,"TeamA2","TeamNE",42,6,"Top",2974,2790,2382,1557,1972,2148,2053,1177,2973,7071,0,0,6000,4,FALSE,TRUE,4517,82.1103,287.9523,5.265,299.430506864915
"1903_03_TeamNE_TeamA2",165,44,166,4891728,6,2,166,"TeamA2","TeamNE",44,6,"Top",2974,2790,2382,1557,1972,2148,2053,1177,2973,4306,7148,0,0,4,FALSE,TRUE,4864,-63.9531,170.2011,4.40709,181.819727864773
"1903_03_TeamNE_TeamA2",212,56,213,6608978,9,2,213,"TeamA2","TeamNE",56,7,"Bottom",8002,7071,6803,4306,9762,6000,3790,4474,7148,2790,2382,0,2526,4,FALSE,TRUE,6154,110.6529,216.2469,6.21417,242.913124466382
"1903_03_TeamNE_TeamA2",217,58,218,6951478,9,2,218,"TeamA2","TeamNE",58,8,"Top",2661,2790,2382,1557,1972,2148,2053,1177,2973,6077,0,0,0,4,FALSE,TRUE,6404,104.385,313.986,4.36377,330.882813728667
"1903_03_TeamNE_TeamA2",278,74,279,9132378,8,2,278,"TeamA2","TeamNE",74,10,"Top",2318,2790,2382,1557,1972,2148,2053,1177,2973,6077,0,9783,0,4,FALSE,TRUE,7849,0.4767,341.703,6.05337,341.703332515049
"1903_03_TeamNE_TeamA2",286,78,288,9445078,8,2,287,"TeamA2","TeamNE",78,10,"Top",2318,2790,2382,1557,1972,2148,2053,1177,2973,4306,7071,6000,0,4,FALSE,TRUE,8180,15.279,318.825,4.8057,319.190896590113
"1903_04_TeamNC_TeamA1",14,5,15,512119,9,2,15,"TeamA1","TeamNC",5,1,"Bottom",8717,8196,4507,3129,7831,3748,5654,6228,4607,1181,0,0,0,4,FALSE,TRUE,447,88.4781,279.8916,3.06354,293.543322067067
"1903_04_TeamNC_TeamA1",39,11,41,1390919,9,2,41,"TeamA1","TeamNC",11,3,"Top",1320,1955,1928,2137,1771,1181,1600,1725,2837,4607,0,0,0,4,FALSE,TRUE,1099,139.8525,306.447,4.1103,336.850835779355
"1903_04_TeamNC_TeamA1",58,16,60,2009469,8,2,60,"TeamA1","TeamNC",16,3,"Bottom",8717,8196,4507,3129,7831,3748,5654,6228,4607,1600,1955,2137,0,4,FALSE,TRUE,1570,9.33423,341.379,5.11173,341.506587770563
"1903_04_TeamNC_TeamA1",88,23,91,2968019,7,2,91,"TeamA1","TeamNC",23,4,"Top",1320,1955,1928,2137,1771,1181,1600,1725,2837,6063,3129,0,5654,4,FALSE,TRUE,2323,-95.3766,259.0296,4.21914,276.030848826214
"1903_04_TeamNC_TeamA1",96,26,100,3333119,8,2,100,"TeamA1","TeamNC",26,4,"Bottom",8717,8196,4507,3129,7831,3748,5654,6228,4607,1928,0,2480,0,4,FALSE,TRUE,2711,-18.46743,281.1642,4.9764,281.770036257308
"1903_04_TeamNC_TeamA1",105,28,110,3664169,7,2,110,"TeamA1","TeamNC",28,4,"Bottom",8717,8196,4507,3129,7831,3748,5654,6228,4607,1771,2137,2480,0,4,FALSE,TRUE,2971,-117.9939,283.8261,2.8287,307.375691098727
"1903_04_TeamNC_TeamA1",131,34,136,4618319,9,2,136,"TeamA1","TeamNC",34,5,"Bottom",8717,8196,4507,3129,7831,3748,5654,6228,4607,1181,0,0,0,4,FALSE,TRUE,3552,123.5157,223.7796,-0.620112,255.604063979136
"1903_04_TeamNC_TeamA1",139,37,144,5002019,9,2,144,"TeamA1","TeamNC",37,6,"Top",1320,1955,1928,2137,1771,1181,1600,1725,2837,3748,8196,0,0,4,FALSE,TRUE,3917,188.1468,242.967,3.18357,307.29819628374
"1903_05_TeamND_TeamA2",3,1,3,66062,8,2,3,"TeamA2","TeamND",1,1,"Top",1077,2790,2526,1297,2137,1972,1557,1177,1751,8032,0,0,0,4,FALSE,TRUE,132,-30.7401,244.7118,5.73468,246.634991043951
"1903_05_TeamND_TeamA2",21,6,21,594512,7,2,21,"TeamA2","TeamND",6,1,"Bottom",4289,5476,6523,4503,3317,6674,8032,5177,9465,2137,0,0,0,4,FALSE,TRUE,667,-54.3369,186.5562,4.2411,194.308297455487
"1903_05_TeamND_TeamA2",67,16,67,1878012,9,2,67,"TeamA2","TeamND",16,2,"Bottom",4289,5476,6523,4503,3317,6674,8032,5177,9465,2526,1751,0,0,4,FALSE,TRUE,1900,66.1731,185.4162,6.13077,196.870633630438
"1903_05_TeamND_TeamA2",82,20,82,2351012,9,2,81,"TeamA2","TeamND",20,2,"Bottom",4289,5476,6523,4503,3317,6674,8032,5177,9465,1972,2137,1177,0,4,FALSE,TRUE,2469,138.5856,278.0442,5.0061,310.667902559952
"1903_05_TeamND_TeamA2",91,22,91,2783062,9,2,90,"TeamA2","TeamND",22,3,"Top",1077,2790,2526,1297,2137,1972,1557,1177,1751,5177,0,0,0,4,FALSE,TRUE,2761,164.2902,182.055,5.76672,245.224984128942
"1903_05_TeamND_TeamA2",95,23,95,2863662,8,2,94,"TeamA2","TeamND",23,3,"Top",1077,2790,2526,1297,2137,1972,1557,1177,1751,5476,0,0,0,4,FALSE,TRUE,2930,60.5205,334.614,5.5908,340.043026566124
"1903_05_TeamND_TeamA2",117,27,117,3443262,8,2,116,"TeamA2","TeamND",27,3,"Bottom",4289,5476,6523,4503,3317,6674,8032,5177,9465,2790,2480,0,0,4,FALSE,TRUE,3313,19.59396,311.19,5.0406,311.806252933583
"1903_05_TeamND_TeamA2",126,29,126,3746862,8,2,125,"TeamA2","TeamND",29,4,"Top",1077,2790,2526,1297,2137,1972,1557,1177,1751,6674,0,0,0,4,FALSE,TRUE,3516,4.857,286.7133,5.85174,286.754436488592
"1903_05_TeamND_TeamA2",155,36,155,4599462,8,2,154,"TeamA2","TeamND",36,4,"Bottom",4289,5476,6523,4503,3317,6674,8032,5177,9465,2137,1297,2526,0,4,FALSE,TRUE,4231,32.0448,371.67,4.92,373.048868255943
"1903_05_TeamND_TeamA2",226,52,226,7375812,7,2,225,"TeamA2","TeamND",52,6,"Bottom",3779,5476,6523,4503,3317,6674,8032,5177,9465,1297,0,0,0,4,FALSE,TRUE,6258,-125.535,323.985,4.39371,347.455488444203
"1903_05_TeamND_TeamA2",231,53,231,7485662,8,2,230,"TeamA2","TeamND",53,6,"Bottom",3779,5476,6523,4503,3317,6674,8032,5177,9465,1177,0,0,0,4,FALSE,TRUE,6429,-39.3783,281.1564,4.33074,283.900637145904
"1903_05_TeamND_TeamA2",254,57,254,8161462,9,2,253,"TeamA2","TeamND",57,7,"Top",2170,2790,2526,1297,2137,1972,1557,1177,1751,5177,6523,0,0,4,FALSE,TRUE,6911,93.0858,271.4472,6.9654,286.964368083356
"1903_05_TeamND_TeamA2",262,60,262,8515512,8,2,261,"TeamA2","TeamND",60,7,"Bottom",9201,5476,6523,4503,3317,6674,8032,5177,9465,1972,0,0,0,4,FALSE,TRUE,7239,-38.0613,339.414,5.67591,341.54139713026
"1903_05_TeamND_TeamA2",301,69,301,9757112,9,2,300,"TeamA2","TeamND",69,8,"Bottom",9201,5476,6523,4503,3317,6674,8032,5177,9465,2526,0,0,0,4,FALSE,TRUE,8025,81.8865,257.6412,4.3596,270.341241433286
"1903_05_TeamND_TeamA2",318,74,318,10478362,8,2,317,"TeamA2","TeamND",74,8,"Bottom",6257,5476,6523,4503,3317,6674,8032,5177,9465,1557,1972,2137,1177,4,FALSE,TRUE,8552,14.8017,278.6703,4.4274,279.063122653245
"1903_05_TeamND_TeamA2",338,79,338,11257712,9,2,337,"TeamA2","TeamND",79,9,"Top",1752,2790,2526,1297,2137,1972,1557,1177,1751,4503,5476,5177,8032,4,FALSE,TRUE,9117,118.8189,347.193,5.823,366.961728585162
"1903_06_TeamND_TeamA2",22,7,22,623224,7,2,22,"TeamA2","TeamND",7,1,"Bottom",9464,9604,6523,6851,6902,6674,5177,8032,6875,2973,0,1972,0,4,FALSE,TRUE,781,-157.0707,222.0288,3.8385,271.970573459575
"1903_06_TeamND_TeamA2",35,10,35,1031824,7,2,35,"TeamA2","TeamND",10,2,"Top",1547,1195,2480,2137,1297,1972,2973,1177,1751,4503,0,0,0,4,FALSE,TRUE,1240,-100.6272,297.8031,7.27677,314.344587593695
"1903_06_TeamND_TeamA2",47,14,48,1402724,8,2,48,"TeamA2","TeamND",14,2,"Bottom",9464,9604,6523,6851,6902,6674,5177,8032,6875,1297,0,0,0,4,FALSE,TRUE,1525,-18.28875,360.216,3.8754,360.679975924035
"1903_06_TeamND_TeamA2",53,16,54,1633824,8,2,54,"TeamA2","TeamND",16,3,"Top",1547,1195,2480,2137,1297,1972,2973,1177,1751,6875,0,0,0,4,FALSE,TRUE,1670,26.77389,343.437,2.624466,344.479047482909
"1903_06_TeamND_TeamA2",96,29,98,3035874,8,2,98,"TeamA2","TeamND",29,4,"Bottom",9464,9604,6523,6851,6902,6674,5177,8032,6875,1297,1751,2480,0,4,FALSE,TRUE,2669,-58.4595,356.091,6.0402,360.85774679401
"1903_06_TeamND_TeamA2",101,30,103,3228624,9,2,103,"TeamA2","TeamND",30,5,"Top",1547,1195,2480,2137,1297,1972,2973,1177,1751,4503,0,0,0,4,FALSE,TRUE,2847,157.3956,250.869,4.0569,296.156428362377
"1903_06_TeamND_TeamA2",103,31,105,3272624,7,2,105,"TeamA2","TeamND",31,5,"Top",1547,1195,2480,2137,1297,1972,2973,1177,1751,6674,0,0,0,4,FALSE,TRUE,2976,-136.3455,142.0392,3.69324,196.888876544334
"1903_06_TeamND_TeamA2",125,38,127,4108574,7,2,127,"TeamA2","TeamND",38,6,"Top",1547,1195,2480,2137,1297,1972,2973,1177,1751,6875,0,0,0,4,FALSE,TRUE,3606,-102.4728,278.4423,5.85327,296.699830079375
"1903_06_TeamND_TeamA2",172,49,174,5675474,8,2,174,"TeamA2","TeamND",49,7,"Top",1547,1195,2480,2137,1297,1972,2973,1177,1751,4503,6851,5177,0,4,FALSE,TRUE,5171,57.5688,315.582,5.87247,320.789908596639
"1903_06_TeamND_TeamA2",180,52,182,6041574,9,2,181,"TeamA2","TeamND",52,7,"Bottom",9464,9604,6523,6851,6902,6674,5177,8032,6875,2137,0,0,0,4,FALSE,TRUE,5668,90.5625,275.2758,6.92397,289.790152475701
"1903_06_TeamND_TeamA2",182,53,184,6086974,8,2,183,"TeamA2","TeamND",53,7,"Bottom",9464,9604,6523,6851,6902,6674,5177,8032,6875,1972,0,0,0,4,FALSE,TRUE,5763,-4.00203,334.281,4.39227,334.304955400187
"1903_06_TeamND_TeamA2",210,61,213,7059024,9,2,212,"TeamA2","TeamND",61,8,"Bottom",9169,9604,6523,6851,6902,6674,5177,8032,6875,1751,0,2480,0,4,FALSE,TRUE,6365,133.6092,289.5693,5.8587,318.907193125414
"1903_07_TeamND_TeamA2",37,9,38,1008823,8,2,38,"TeamA2","TeamND",9,2,"Top",1843,2790,2480,1557,2137,1972,2526,1177,2973,4503,0,0,0,4,FALSE,TRUE,693,52.1838,283.5186,4.47975,288.281018328297
"1903_07_TeamND_TeamA2",62,15,63,1720123,8,2,63,"TeamA2","TeamND",15,2,"Bottom",4348,5476,3317,4503,6902,6674,8032,5177,6851,1195,0,1972,2526,4,FALSE,TRUE,1448,92.6283,263.9973,3.10278,279.775939580551
"1903_07_TeamND_TeamA2",70,17,71,1920923,7,2,71,"TeamA2","TeamND",17,2,"Bottom",4348,5476,3317,4503,6902,6674,8032,5177,6851,2137,0,0,1972,4,FALSE,TRUE,1680,-193.3431,192.5043,5.607,272.835957740361
"1903_07_TeamND_TeamA2",91,22,92,2619873,9,2,92,"TeamA2","TeamND",22,3,"Bottom",4348,5476,3317,4503,6902,6674,8032,5177,6851,1557,0,2973,0,4,FALSE,TRUE,2318,116.4591,283.1919,4.2726,306.203158374338
"1903_07_TeamND_TeamA2",150,34,151,4406873,8,2,151,"TeamA2","TeamND",34,4,"Bottom",4348,5476,3317,4503,6902,6674,8032,5177,6851,1177,0,0,0,4,FALSE,TRUE,3749,-79.668,260.5584,4.48797,272.465906187471
"1903_07_TeamND_TeamA2",152,35,153,4458873,8,2,153,"TeamA2","TeamND",35,4,"Bottom",4348,5476,3317,4503,6902,6674,8032,5177,6851,2137,0,0,0,4,FALSE,TRUE,3875,-109.2756,307.437,4.53393,326.280041872561
"1903_07_TeamND_TeamA2",156,36,157,4643923,8,2,157,"TeamA2","TeamND",36,5,"Top",1843,2790,2480,1557,2137,1972,2526,1177,2973,6902,0,0,0,4,FALSE,TRUE,3982,-2.815152,325.005,4.44516,325.01719201572
"1903_07_TeamND_TeamA2",210,47,211,6583923,9,2,210,"TeamA2","TeamND",47,5,"Bottom",3556,5476,3317,4503,6902,6674,8032,5177,6851,1972,0,0,2526,4,FALSE,TRUE,5647,84.4452,174.3279,5.49525,193.703919736927
"1903_07_TeamND_TeamA2",221,50,222,6990623,7,2,221,"TeamA2","TeamND",50,6,"Top",2242,2790,2480,1557,2137,1972,2526,1177,2973,3317,0,0,0,4,FALSE,TRUE,5982,-86.2794,194.6769,6.31887,212.939499055412
"1903_07_TeamND_TeamA2",272,62,273,8850323,7,2,272,"TeamA2","TeamND",62,8,"Top",1519,2790,2480,1557,2137,1972,2526,1177,2973,5476,0,0,0,4,FALSE,TRUE,6879,-187.8027,260.0412,6.6186,320.766706228577
"1903_07_TeamND_TeamA2",284,66,285,9323023,9,2,284,"TeamA2","TeamND",66,8,"Bottom",7101,5476,3317,4503,6902,6674,8032,5177,6851,2526,0,0,0,4,FALSE,TRUE,7149,105.5907,291.9771,5.07708,310.483530724095
"1903_08_TeamNJ_TeamB",18,4,18,507967,8,2,18,"TeamB","TeamNJ",4,1,"Top",1493,2925,2488,2235,1080,1144,1124,2029,2881,3020,6201,3428,4557,4,FALSE,TRUE,631,-10.08363,351.501,4.70673,351.645606534444
"1903_08_TeamNJ_TeamB",29,7,29,990067,6,2,29,"TeamB","TeamNJ",7,1,"Bottom",8462,3020,6266,8169,6201,4557,3428,6878,5410,2235,0,0,0,4,FALSE,TRUE,997,-52.4136,189.2037,4.4454,196.329380273687
"1903_08_TeamNJ_TeamB",46,11,47,1605817,9,2,46,"TeamB","TeamNJ",11,2,"Top",1493,2925,2488,2235,1080,1144,1124,2029,2881,6878,8169,0,0,4,FALSE,TRUE,1455,125.4195,328.53,4.60782,351.656098881066
"1903_08_TeamNJ_TeamB",51,12,52,1762517,9,2,50,"TeamB","TeamNJ",12,2,"Top",1493,2925,2488,2235,1080,1144,1124,2029,2881,6764,0,8169,0,4,FALSE,TRUE,1566,142.3674,223.6008,4.10067,265.07695928428
"1903_08_TeamNJ_TeamB",79,20,80,2654667,9,2,78,"TeamB","TeamNJ",20,3,"Top",1493,2925,2488,2235,1080,1144,1124,2029,2881,3020,0,0,0,4,FALSE,TRUE,2376,88.3938,292.9989,5.8842,306.042185457577
"1903_08_TeamNJ_TeamB",80,21,81,2817767,9,2,79,"TeamB","TeamNJ",21,3,"Bottom",8462,3020,6266,8169,6201,4557,3428,6878,5410,1279,0,0,0,4,FALSE,TRUE,2511,98.3571,277.8081,6.9705,294.705716853304
"1903_08_TeamNJ_TeamB",93,25,94,3241967,8,2,92,"TeamB","TeamNJ",25,4,"Top",1493,2925,2488,2235,1080,1144,1124,2029,2881,6266,0,0,0,4,FALSE,TRUE,2802,29.80653,326.553,3.56778,327.910492420784
"1903_08_TeamNJ_TeamB",109,31,110,3724167,7,2,108,"TeamB","TeamNJ",31,4,"Bottom",8462,3020,6266,8169,6201,4557,3428,6878,5410,2881,2029,0,0,4,FALSE,TRUE,3357,-146.6868,247.422,1.961529,287.636338765185
"1903_08_TeamNJ_TeamB",158,48,159,5602417,6,2,156,"TeamB","TeamNJ",48,6,"Bottom",3782,3020,6266,8169,6201,4557,3428,6878,5410,1144,0,2235,2925,4,FALSE,TRUE,5111,-16.79406,213.7131,2.356917,214.371942107389
"1903_08_TeamNJ_TeamB",163,50,164,5748217,8,2,161,"TeamB","TeamNJ",50,6,"Bottom",3782,3020,6266,8169,6201,4557,3428,6878,5410,2029,1080,2235,0,4,FALSE,TRUE,5258,36.2661,279.3231,2.304444,281.667577478878
"1903_08_TeamNJ_TeamB",201,61,202,7219267,8,2,199,"TeamB","TeamNJ",61,8,"Bottom",3782,3020,6266,8169,6201,4557,3428,6878,5410,2925,0,0,0,4,FALSE,TRUE,6126,-45.606,300.438,1.253361,303.879744438487
"1903_09_TeamNJ_TeamB",38,6,39,988584,7,2,39,"TeamB","TeamNJ",6,1,"Bottom",7965,3020,6266,3033,6201,4557,3428,6878,7518,1144,2619,0,0,4,FALSE,TRUE,640,-160.9722,198.1176,4.2663,255.269725197878
"1903_09_TeamNJ_TeamB",70,17,71,2629365,9,2,71,"TeamB","TeamNJ",17,3,"Top",1256,1279,1980,2235,1080,1144,2029,2619,1124,7518,0,0,0,4,FALSE,TRUE,1567,131.694,281.6775,5.47341,310.942958824042
"1903_09_TeamNJ_TeamB",131,34,132,4875065,9,2,132,"TeamB","TeamNJ",34,5,"Bottom",7965,3020,6266,3033,6201,4557,3428,6878,7518,1124,0,0,0,4,FALSE,TRUE,3159,165.639,226.4646,5.38512,280.575290027757
"1903_09_TeamNJ_TeamB",134,36,135,4956165,8,2,135,"TeamB","TeamNJ",36,5,"Bottom",7965,3020,6266,3033,6201,4557,3428,6878,7518,1980,0,0,0,4,FALSE,TRUE,3358,33.6855,263.3523,5.17368,265.497922450516
"1903_09_TeamNJ_TeamB",144,39,145,5347465,7,2,145,"TeamB","TeamNJ",39,6,"Top",1256,1279,1980,2235,1080,1144,2029,2619,1124,3428,4557,7518,0,4,FALSE,TRUE,3735,-140.6478,173.7426,2.931513,223.535891300704
"1903_09_TeamNJ_TeamB",157,42,159,6147215,8,2,159,"TeamB","TeamNJ",42,6,"Bottom",7965,3020,6266,3033,6201,4557,3428,6878,7518,1279,0,0,0,4,FALSE,TRUE,4068,43.0266,383.283,5.13489,385.690480043986
